image,ROI1_mean,ROI1_variance,ROI1_std,ROI1_coef_var,ROI1_p10,ROI1_p50,ROI1_p90,ROI2_mean,ROI2_variance,ROI2_std,ROI2_coef_var,ROI2_p10,ROI2_p50,ROI2_p90,ROI3_mean,ROI3_variance,ROI3_std,ROI3_coef_var,ROI3_p10,ROI3_p50,ROI3_p90
CASE 3 (1).JPG,0.19731407,0.0025411698,0.050410017,0.25548112,0.1318722,0.1924356,0.26104128,0.09955668,0.029149394,0.17073193,1.714922,-0.11078649,0.100114435,0.30507517,0.0059851524,0.09245325,0.30406126,50.802593,-0.32484365,-0.07411467,0.43274212
CASE 3 (10).JPG,0.1843043,0.0033931092,0.0582504,0.31605557,0.10963326,0.18266097,0.24874151,0.11192252,0.033525657,0.18310013,1.6359544,-0.108572826,0.10765835,0.34020987,0.04907956,0.12302318,0.3507466,7.1464906,-0.32057935,-0.067818016,0.5816973
CASE 3 (100).JPG,0.19825163,0.0028838352,0.053701352,0.2708747,0.12735386,0.19484815,0.27189213,0.093196735,0.026154423,0.16172329,1.7352892,-0.10733103,0.09275077,0.30912971,-0.015234741,0.073888205,0.27182385,-17.842367,-0.31733713,-0.079137966,0.3606911
CASE 3 (101).JPG,0.19825163,0.0028838352,0.053701352,0.2708747,0.12735386,0.19484815,0.27189213,0.093196735,0.026154423,0.16172329,1.7352892,-0.10733103,0.09275077,0.30912971,-0.015234741,0.073888205,0.27182385,-17.842367,-0.31733713,-0.079137966,0.3606911
CASE 3 (102).JPG,0.20823441,0.0024741692,0.049741022,0.23887032,0.14663777,0.1998032,0.27186584,0.10094365,0.028066995,0.16753207,1.6596594,-0.10570546,0.108929604,0.30957428,-0.0006286081,0.08751402,0.2958277,-470.60748,-0.32332715,-0.075898714,0.4074075
CASE 3 (103).JPG,0.1949446,0.0022602864,0.047542468,0.2438768,0.13247141,0.1922702,0.25486198,0.09826676,0.027960878,0.16721506,1.7016443,-0.10847201,0.10275428,0.3049528,0.0011862899,0.089235075,0.29872242,251.81232,-0.32470483,-0.07617136,0.41926745
CASE 3 (104).JPG,0.1949446,0.0022602864,0.047542468,0.2438768,0.13247141,0.1922702,0.25486198,0.09826676,0.027960878,0.16721506,1.7016443,-0.10847201,0.10275428,0.3049528,0.0011862899,0.089235075,0.29872242,251.81232,-0.32470483,-0.07617136,0.41926745
CASE 3 (105).JPG,0.18755288,0.0022970021,0.04792705,0.25553888,0.12455099,0.18645683,0.24017347,0.08916719,0.026124755,0.16163154,1.8126795,-0.11230363,0.093591794,0.28836748,-0.0016094318,0.08879156,0.29797912,-185.14554,-0.3266636,-0.0793135,0.41446614
CASE 3 (106).JPG,0.18755288,0.0022970021,0.04792705,0.25553888,0.12455099,0.18645683,0.24017347,0.08916719,0.026124755,0.16163154,1.8126795,-0.11230363,0.093591794,0.28836748,-0.0016094318,0.08879156,0.29797912,-185.14554,-0.3266636,-0.0793135,0.41446614
CASE 3 (107).JPG,0.18693,0.002355064,0.048529003,0.25961056,0.122423194,0.186755,0.24208713,0.1019506,0.028857378,0.1698746,1.6662441,-0.107481845,0.10565404,0.3082004,0.02261911,0.10361576,0.32189402,14.231065,-0.32314914,-0.07230981,0.4964222
CASE 3 (108).JPG,0.17786603,0.002732002,0.052268557,0.29386476,0.109803125,0.17609027,0.2380237,0.097123876,0.028848961,0.16984981,1.7487956,-0.11147658,0.099874154,0.30115184,0.01961875,0.10422501,0.322839,16.455635,-0.32593358,-0.072513334,0.5030994
CASE 3 (109).JPG,0.1978731,0.0025702866,0.050697993,0.25621468,0.1293384,0.1946255,0.26369852,0.10498039,0.028855931,0.16987033,1.618115,-0.10403114,0.115808725,0.3116237,0.014389373,0.0963144,0.31034562,21.567696,-0.32099152,-0.0715242,0.45110127
CASE 3 (11).JPG,0.1843043,0.0033931092,0.0582504,0.31605557,0.10963326,0.18266097,0.24874151,0.11192252,0.033525657,0.18310013,1.6359544,-0.108572826,0.10765835,0.34020987,0.04907956,0.12302318,0.3507466,7.1464906,-0.32057935,-0.067818016,0.5816973
CASE 3 (110).JPG,0.1978731,0.0025702866,0.050697993,0.25621468,0.1293384,0.1946255,0.26369852,0.10498039,0.028855931,0.16987033,1.618115,-0.10403114,0.115808725,0.3116237,0.014389373,0.0963144,0.31034562,21.567696,-0.32099152,-0.0715242,0.45110127
CASE 3 (111).JPG,0.19636166,0.002538028,0.050378844,0.25656152,0.12885909,0.1922301,0.2624418,0.101419084,0.02788883,0.16699949,1.6466279,-0.10563282,0.112493165,0.3061294,0.011018886,0.093006834,0.3049702,27.677044,-0.31835523,-0.0723805,0.44165722
CASE 3 (112).JPG,0.20175104,0.003025084,0.055000763,0.272617,0.13074411,0.19375442,0.27101266,0.10576827,0.029245293,0.17101255,1.6168606,-0.106264465,0.11867976,0.31362498,0.009244649,0.0918465,0.30306187,32.78241,-0.32008338,-0.072388366,0.4289626
CASE 3 (113).JPG,0.19288121,0.0024580974,0.049579203,0.25704527,0.12870254,0.19089264,0.2558146,0.099723704,0.028277645,0.16815957,1.6862547,-0.107492656,0.11018376,0.3084963,0.009907653,0.093865626,0.30637497,30.923063,-0.32171884,-0.072490714,0.43983054
CASE 3 (114).JPG,0.19288121,0.0024580974,0.049579203,0.25704527,0.12870254,0.19089264,0.2558146,0.099723704,0.028277645,0.16815957,1.6862547,-0.107492656,0.11018376,0.3084963,0.009907653,0.093865626,0.30637497,30.923063,-0.32171884,-0.072490714,0.43983054
CASE 3 (115).JPG,0.20270342,0.0026732748,0.05170372,0.2550708,0.1374418,0.19896212,0.27081984,0.10404863,0.028727092,0.16949068,1.6289563,-0.10639269,0.113856405,0.31056732,0.0076980907,0.090811685,0.30134976,39.146038,-0.32140446,-0.072674796,0.4217153
CASE 3 (116).JPG,0.20270342,0.0026732748,0.05170372,0.2550708,0.1374418,0.19896212,0.27081984,0.10404863,0.028727092,0.16949068,1.6289563,-0.10639269,0.113856405,0.31056732,0.0076980907,0.090811685,0.30134976,39.146038,-0.32140446,-0.072674796,0.4217153
